iter	Passed	Remaining
0	237	237043
1	291	145284
2	383	127386
3	447	111309
4	528	105117
5	621	102955
6	677	96049
7	751	93186
8	813	89553
9	922	91319
10	1006	90470
11	1069	88064
12	1154	87672
13	1227	86471
14	1287	84550
15	1381	84946
16	1476	85379
17	1523	83131
18	1593	82272
19	1657	81238
20	1690	78831
21	1752	77911
22	1821	77381
23	1908	77616
24	1978	77142
25	2072	77645
26	2135	76970
27	2200	76385
28	2274	76167
29	2337	75591
30	2405	75196
31	2470	74740
32	2549	74707
33	2618	74410
34	2682	73947
35	2759	73881
36	2848	74138
37	2908	73634
38	2997	73862
39	3067	73630
40	3139	73437
41	3217	73389
42	3302	73494
43	3375	73333
44	3446	73138
45	3506	72724
46	3565	72288
47	3638	72160
48	3687	71574
49	3799	72197
50	3904	72661
51	3985	72661
52	4053	72419
53	4124	72263
54	4216	72454
55	4287	72268
56	4359	72128
57	4423	71848
58	4490	71612
59	4578	71728
60	4640	71439
61	4716	71355
62	4792	71279
63	4873	71279
64	4951	71230
65	5012	70928
66	5076	70690
67	5153	70627
68	5232	70596
69	5296	70362
70	5403	70699
71	5480	70632
72	5577	70832
73	5654	70752
74	5714	70483
75	5775	70213
76	5857	70213
77	5923	70020
78	6010	70076
79	6092	70065
80	6197	70314
81	6293	70458
82	6354	70209
83	6443	70265
84	6532	70317
85	6656	70743
86	6750	70838
87	6859	71085
88	6920	70834
89	6994	70719
90	7088	70804
91	7150	70576
92	7254	70750
93	7348	70831
94	7418	70673
95	7509	70711
96	7595	70708
97	7676	70652
98	7756	70590
99	7892	71032
100	7993	71146
101	8058	70947
102	8118	70704
103	8181	70483
104	8276	70546
105	8370	70596
106	8453	70552
107	8560	70702
108	8644	70665
109	8733	70664
110	8825	70686
111	8872	70344
112	8964	70367
113	9050	70343
114	9173	70598
115	9242	70436
116	9310	70266
117	9407	70320
118	9497	70310
119	9591	70337
120	9633	69981
121	9714	69911
122	9782	69750
123	9871	69738
124	9969	69789
125	10044	69677
126	10120	69567
127	10184	69382
128	10252	69225
129	10314	69025
130	10392	68941
131	10452	68734
132	10539	68703
133	10606	68545
134	10671	68375
135	10750	68295
136	10828	68213
137	10920	68214
138	11001	68143
139	11062	67954
140	11138	67858
141	11200	67675
142	11295	67695
143	11365	67562
144	11419	67336
145	11498	67257
146	11594	67282
147	11669	67180
148	11749	67103
149	11827	67025
150	11913	66982
151	11969	66777
152	12019	66539
153	12105	66499
154	12169	66345
155	12247	66262
156	12323	66168
157	12385	66003
158	12451	65857
159	12513	65695
160	12571	65511
161	12650	65437
162	12717	65306
163	12779	65142
164	12854	65052
165	12927	64949
166	12996	64825
167	13056	64660
168	13137	64598
169	13199	64443
170	13276	64363
171	13354	64288
172	13416	64136
173	13485	64016
174	13556	63911
175	13640	63862
176	13723	63812
177	13778	63627
178	13847	63512
179	13942	63513
180	14014	63414
181	14126	63492
182	14188	63343
183	14250	63197
184	14330	63132
185	14407	63053
186	14468	62905
187	14560	62890
188	14641	62826
189	14704	62688
190	14795	62668
191	14856	62520
192	14933	62440
193	14997	62307
194	15057	62158
195	15135	62085
196	15213	62013
197	15275	61874
198	15370	61866
199	15447	61791
200	15522	61702
201	15613	61680
202	15671	61526
203	15727	61369
204	15826	61375
205	15908	61315
206	15988	61251
207	16080	61230
208	16137	61077
209	16220	61018
210	16305	60971
211	16370	60849
212	16450	60780
213	16530	60716
214	16604	60625
215	16694	60594
216	16758	60468
217	16821	60341
218	16931	60381
219	17008	60301
220	17090	60243
221	17163	60148
222	17230	60036
223	17306	59953
224	17351	59765
225	17416	59649
226	17491	59562
227	17575	59510
228	17658	59454
229	17749	59420
230	17823	59333
231	17889	59220
232	17961	59125
233	18041	59057
234	18102	58928
235	18168	58817
236	18229	58687
237	18291	58563
238	18354	58442
239	18435	58377
240	18507	58286
241	18586	58218
242	18653	58110
243	18726	58020
244	18820	57996
245	18900	57929
246	18976	57852
247	19041	57739
248	19120	57668
249	19181	57545
250	19293	57573
